Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2008,Incremento20072008,Floresta2008,Nuvem2008,NaoObservado2008,NaoFloresta2008,Hidrografia2008,Soma 
 1,-2.83490,-57.83095,S 2 50 5.64,O 57 49 51.42,Urucurituba,1304401,AM,2915,93.6,0.6,129.7,1.4,0.3,1689.6,1000.4,100
 2,-1.24938,-58.78714,S 1 14 57.77,O 58 47 13.70,Urucará,1304302,AM,28012,332.2,2.1,25340.2,1268.0,2.2,423.0,646.4,100
 3,-3.20648,-65.43058,S 3 12 23.33,O 65 25 50.09,Uarini,1304260,AM,10448,239.0,6.8,9494.4,180.3,2.2,100.3,431.8,100
 4,-2.57583,-67.47268,S 2 34 32.99,O 67 28 21.65,Tonantins,1304237,AM,6619,81.0,0.3,5030.5,1122.3,2.1,67.4,315.7,99
 5,-4.41301,-65.57764,S 4 24 46.84,O 65 34 39.50,Tefé,1304203,AM,24186,620.7,10.1,22033.7,634.2,3.8,168.9,724.7,100
 6,-5.93398,-65.97188,S 5 56 2.33,O 65 58 18.77,Tapauá,1304104,AM,90962,304.8,3.5,84286.6,2706.2,1.9,2161.1,1501.4,100
 7,-4.02878,-69.69786,S 4 1 43.61,O 69 41 52.30,Tabatinga,1304062,AM,3343,154.5,1.1,834.5,2264.1,36.6,1.3,52.0,100
 8,-2.85099,-58.49614,S 2 51 3.56,O 58 29 46.10,Silves,1304005,AM,3758,426.4,2.8,2192.6,410.5,1.1,128.7,598.7,99
 9,-1.89625,-58.81001,S 1 53 46.50,O 58 48 36.04,São Sebastião do Uatumã,1303957,AM,10776,195.6,5.5,7983.6,1903.1,2.2,65.7,625.8,100
 10,-4.73714,-69.52392,S 4 44 13.70,O 69 31 26.11,São Paulo de Olivença,1303908,AM,20467,174.6,0.3,13082.3,6532.8,3.2,86.3,587.8,100
 11,0.35952,-68.17017,N 0 21 34.27,O 68 10 12.61,São Gabriel da Cachoeira,1303809,AM,112476,1180.6,9.6,81066.2,27862.6,394.7,489.6,1482.3,99
 12,-3.08079,-69.06723,S 3 4 50.84,O 69 4 2.03,Santo Antônio do Içá,1303700,AM,12737,132.2,1.1,11272.5,704.6,86.0,90.4,451.3,100
 13,-0.25129,-64.98731,S 0 15 4.64,O 64 59 14.32,Santa Isabel do Rio Negro,1303601,AM,64130,207.2,1.3,58882.6,3381.4,79.7,950.8,628.3,99
 14,-2.50853,-59.60122,S 2 30 30.71,O 59 36 4.39,Rio Preto da Eva,1303569,AM,5838,559.6,7.1,5265.1,0.6,2.4,0.0,10.3,100
 15,-0.65847,-60.17004,S 0 39 30.49,O 60 10 12.14,Presidente Figueiredo,1303536,AM,25568,695.1,18.9,20483.1,957.7,9.2,1.1,3421.8,100
 16,-7.76452,-68.19675,S 7 45 52.27,O 68 11 48.30,Pauini,1303502,AM,42877,210.3,3.2,39781.3,2597.6,2.3,23.7,261.8,100
 17,-2.78735,-56.68566,S 2 47 14.46,O 56 41 8.38,Parintins,1303403,AM,5958,949.5,4.6,1419.1,172.4,2.6,1133.2,2281.2,100
 18,-6.83379,-60.23604,S 6 50 1.64,O 60 14 9.74,Novo Aripuanã,1303304,AM,41452,860.6,63.0,38048.4,152.4,27.8,1620.2,742.6,100
 19,-1.51628,-61.51599,S 1 30 58.61,O 61 30 57.56,Novo Airão,1303205,AM,38114,112.4,0.9,34939.2,1490.3,1.5,211.9,1358.7,99
 20,-4.02487,-58.58633,S 4 1 29.53,O 58 35 10.79,Nova Olinda do Norte,1303106,AM,5625,411.6,6.5,4485.8,13.9,1.7,281.0,431.0,100
 21,-1.08094,-58.44390,S 1 4 51.38,O 58 26 38.04,Nhamundá,1303007,AM,14132,456.1,0.8,10746.6,1474.1,3.0,344.4,1107.8,100
 22,-5.24148,-58.19462,S 5 14 29.33,O 58 11 40.63,Maués,1302900,AM,40090,1279.8,20.1,36610.6,26.2,6.2,872.3,1294.9,100
 23,-2.61234,-64.70305,S 2 36 44.42,O 64 42 10.98,Maraã,1302801,AM,17221,108.1,3.1,14629.0,26.8,5.8,604.6,1846.7,100
 24,-6.78709,-61.11001,S 6 47 13.52,O 61 6 36.04,Manicoré,1302702,AM,48689,1468.9,41.5,42226.9,2.5,17.4,4146.5,826.8,100
 25,-2.57290,-60.37242,S 2 34 22.44,O 60 22 20.71,Manaus,1302603,AM,11473,1232.1,3.0,8677.7,9.3,3.1,3.0,1547.8,100
 26,-3.73889,-60.65552,S 3 44 20.00,O 60 39 19.87,Manaquiri,1302553,AM,4001,488.7,0.7,3021.1,97.7,0.1,106.3,287.1,100
