Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2006,Incremento20052006,Floresta2006,Nuvem2006,NaoObservado2006,NaoFloresta2006,Hidrografia2006,Soma 
 1,-3.25303,-45.97435,S 3 15 10.91,O 45 58 27.66,Zé Doca,2114007,MA,2438,1945.7,7.6,382.3,109.7,0.3,0.0,0.0,100
 2,-6.84864,-49.25551,S 6 50 55.10,O 49 15 19.84,Xinguara,1508407,PA,3793,3339.9,11.3,435.4,0.1,0.0,0.0,17.6,99
 3,-10.61178,-68.46285,S 10 36 42.41,O 68 27 46.26,Xapuri,1200708,AC,5511,1231.3,10.3,4278.9,0.0,0.8,0.0,0.0,99
 4,-6.59866,-48.48198,S 6 35 55.18,O 48 28 55.13,Xambioá,1722107,TO,1191,960.1,0.6,189.7,0.0,0.1,11.0,30.1,100
 5,-6.88444,-47.99094,S 6 53 3.98,O 47 59 27.38,Wanderlândia,1722081,TO,1382,310.7,1.0,150.5,0.0,0.0,920.8,0.0,100
 6,-4.15502,-45.29588,S 4 9 18.07,O 45 17 45.17,Vitorino Freire,2113009,MA,1209,1166.3,0.0,0,0.0,0.0,43.3,0.0,100
 7,-3.19117,-51.87114,S 3 11 28.21,O 51 52 16.10,Vitória do Xingu,1508357,PA,3136,1809.2,37.0,979.4,197.9,0.0,0.1,149.4,99
 8,-3.54938,-44.93269,S 3 32 57.77,O 44 55 57.68,Vitória do Mearim,2112902,MA,736,232.7,2.7,24.5,3.8,0.2,464.9,9.9,100
 9,-1.01612,-52.05024,S 1 0 58.03,O 52 3 0.86,Vitória do Jari,1600808,AP,2481,187.6,0.6,1288.6,494.6,0.8,379.8,129.6,100
 10,-1.09331,-46.26696,S 1 5 35.92,O 46 16 1.06,Viseu,1508308,PA,4971,3382.2,29.9,1303.1,152.3,0.7,45.4,87.3,99
 11,-12.12351,-60.11211,S 12 7 24.64,O 60 6 43.60,Vilhena,1100304,RO,11584,1638.5,20.1,8253.0,1.3,3.9,1685.8,1.5,99
 12,-10.01731,-51.43727,S 10 1 2.32,O 51 26 14.17,Vila Rica,5108600,MT,7443,4401.2,65.9,2845.1,0.0,0.0,186.8,9.9,100
 13,-5.03923,-48.09734,S 5 2 21.23,O 48 5 50.42,Vila Nova dos Martírios,2112852,MA,1196,957.3,2.4,96.3,0.0,1.4,131.8,9.2,100
 14,-15.13556,-60.01729,S 15 8 8.02,O 60 1 2.24,Vila Bela da Santíssima Trindade,5105507,MT,13521,4461.0,21.6,2377.1,0.0,19.6,6590.4,72.9,99
 15,-0.91777,-48.11811,S 0 55 3.97,O 48 7 5.20,Vigia,1508209,PA,536,213.6,2.6,0,0.0,323.7,16.4,161.4,133
 16,-3.13012,-45.18793,S 3 7 48.43,O 45 11 16.55,Viana,2112803,MA,1176,491.2,0.9,91.0,16.4,0.0,382.3,195.1,100
 17,-12.48409,-55.32384,S 12 29 2.72,O 55 19 25.82,Vera,5108501,MT,2952,1909.4,20.8,1023.3,0.0,1.4,17.8,0.1,99
 18,-15.55785,-56.34462,S 15 33 28.26,O 56 20 40.63,Várzea Grande,5108402,MT,939,0.0,0.0,0,0.0,1.4,937.7,0.0,100
 19,-10.36243,-62.07227,S 10 21 44.75,O 62 4 20.17,Vale do Paraíso,1101807,RO,974,865.4,0.8,104.4,0.0,0.0,3.5,0.7,99
 20,-9.69033,-61.77120,S 9 41 25.19,O 61 46 16.32,Vale do Anari,1101757,RO,3166,1143.8,24.4,1991.9,0.0,0.0,11.3,19.0,100
 21,-15.02325,-58.95656,S 15 1 23.70,O 58 57 23.62,Vale de São Domingos,5108352,MT,1913,600.5,2.2,490.1,11.1,0.2,811.1,0.0,100
 22,-11.11448,-62.45596,S 11 6 52.13,O 62 27 21.46,Urupá,1101708,RO,841,682.7,1.1,60.6,0.0,0.0,97.7,0.0,100
 23,-2.83490,-57.83095,S 2 50 5.64,O 57 49 51.42,Urucurituba,1304401,AM,2915,92.8,0.3,132.2,0.0,0.0,1689.6,1000.4,100
 24,-1.24938,-58.78714,S 1 14 57.77,O 58 47 13.70,Urucará,1304302,AM,28012,328.3,2.0,26521.9,91.5,0.9,423.0,646.4,100
 25,-3.57633,-53.74101,S 3 34 34.79,O 53 44 27.64,Uruará,1508159,PA,10794,2631.3,93.1,6270.2,1888.5,3.8,0.0,0.2,100
 26,-11.53596,-54.35070,S 11 32 9.46,O 54 21 2.52,União do Sul,5108303,MT,4583,926.5,27.4,3631.7,0.0,2.1,22.7,0.0,100
 27,-3.80187,-47.54701,S 3 48 6.73,O 47 32 49.24,Ulianópolis,1508126,PA,5122,3184.9,87.5,1747.1,189.8,0.2,0.0,0.0,99
 28,4.71636,-60.34048,N 4 42 58.90,O 60 20 25.73,Uiramutã,1400704,RR,8117,31.4,6.1,1680.1,460.5,52.8,5884.1,8.1,100
 29,-3.20648,-65.43058,S 3 12 23.33,O 65 25 50.09,Uarini,1304260,AM,10448,229.8,1.4,9120.2,565.9,0.0,100.3,431.8,100
 30,-2.11952,-45.43842,S 2 7 10.27,O 45 26 18.31,Turilândia,2112456,MA,1529,1149.5,12.8,150.4,32.9,0.1,135.6,60.5,100
 31,-1.47124,-45.40039,S 1 28 16.46,O 45 24 1.40,Turiaçu,2112407,MA,2603,1893.9,6.4,469.3,123.8,1.3,48.0,66.7,100
 32,-8.35527,-48.19828,S 8 21 18.97,O 48 11 53.81,Tupiratins,1721307,TO,900,2.1,0.0,6.9,0.0,0.0,883.1,7.9,100
 33,-8.94054,-48.28255,S 8 56 25.94,O 48 16 57.18,Tupirama,1721257,TO,715,0.0,0.0,0,0.0,0.0,709.8,5.7,100
 34,-5.60091,-44.82688,S 5 36 3.28,O 44 49 36.77,Tuntum,2112308,MA,3619,1145.2,9.9,495.9,0.2,0.2,1933.7,43.8,100
 35,-3.77013,-45.57549,S 3 46 12.47,O 45 34 31.76,Tufilândia,2112274,MA,274,249.0,0.0,0.0,0.0,0.0,25.0,0.0,100
 36,-3.79728,-49.80670,S 3 47 50.21,O 49 48 24.12,Tucuruí,1508100,PA,2095,674.8,17.3,883.2,54.2,0.0,4.7,478.1,100
 37,-6.81334,-51.41284,S 6 48 48.02,O 51 24 46.22,Tucumã,1508084,PA,2513,2246.7,9.7,215.5,42.7,0.5,0.0,7.6,100
 38,-4.53616,-44.66999,S 4 32 10.18,O 44 40 11.96,Trizidela do Vale,2112233,MA,225,152.8,0.0,0,0.0,72.5,0.0,0.0,100
 39,-5.10620,-55.93385,S 5 6 22.32,O 55 56 1.86,Trairão,1508050,PA,11997,907.8,38.7,10599.4,386.5,0.2,1.1,102.0,99
 40,-0.92904,-46.93052,S 0 55 44.54,O 46 55 49.87,Tracuateua,1508035,PA,858,461.3,1.1,109.0,59.6,18.5,188.8,20.8,99
 41,-16.29768,-52.91830,S 16 17 51.65,O 52 55 5.88,Torixoréu,5108204,MT,2397,0.0,0.0,0,0.0,3.3,2394.2,1.1,100
 42,-2.57583,-67.47268,S 2 34 32.99,O 67 28 21.65,Tonantins,1304237,AM,6619,79.6,0.7,4930.9,1223.8,1.6,67.4,315.7,99
 43,-2.66028,-48.25818,S 2 39 37.01,O 48 15 29.45,Tomé-Açu,1508001,PA,5169,2819.3,14.8,2160.5,36.0,152.7,0.1,0.4,100
 44,-6.23192,-47.55419,S 6 13 54.91,O 47 33 15.08,Tocantinópolis,1721208,TO,1085,299.1,0.3,137.0,0.0,0.0,624.0,24.9,100
 45,-9.61778,-48.15994,S 9 37 4.01,O 48 9 35.78,Tocantínia,1721109,TO,2619,0.0,0.0,0,0.0,0.3,2600.5,18.8,100
 46,-10.08860,-62.27984,S 10 5 18.96,O 62 16 47.42,Theobroma,1101609,RO,2217,1711.9,7.8,504.7,0.0,0.0,0.0,0.4,100
 47,-15.90627,-53.44494,S 15 54 22.57,O 53 26 41.78,Tesouro,5108105,MT,3944,0.0,0.0,0,0.0,5.1,3938.9,1.1,100
 48,-1.90481,-56.47418,S 1 54 17.32,O 56 28 27.05,Terra Santa,1507979,PA,1900,323.0,2.5,720.9,78.4,0.2,388.1,389.4,100
 49,-10.49327,-54.98918,S 10 29 35.77,O 54 59 21.05,Terra Nova do Norte,5108055,MT,2551,2057.5,16.6,488.9,0.0,0.0,4.6,0.0,100
 50,-0.99347,-47.84850,S 0 59 36.49,O 47 50 54.60,Terra Alta,1507961,PA,209,168.3,2.6,0.6,0.0,40.1,0.0,0.0,100
 51,-10.93190,-62.25910,S 10 55 54.84,O 62 15 32.76,Teixeirópolis,1101559,RO,464,440.8,1.7,23.2,0.0,0.0,0.0,0.0,100
 52,-4.41301,-65.57764,S 4 24 46.84,O 65 34 39.50,Tefé,1304203,AM,24186,606.1,4.0,22587.1,97.4,1.8,168.9,724.7,100
 53,-8.30801,-45.88700,S 8 18 28.84,O 45 53 13.20,Tasso Fragoso,2112001,MA,4426,0.0,0.0,27.1,0.0,0.0,4398.9,0.0,100
 54,1.31335,-50.92943,N 1 18 48.06,O 50 55 45.95,Tartarugalzinho,1600709,AP,6718,268.6,8.4,2358.0,659.6,16.4,3226.1,189.3,99
 55,-8.26015,-71.43408,S 8 15 36.54,O 71 26 2.69,Tarauacá,1200609,AC,21156,1339.4,23.3,19799.7,0.3,1.9,1.1,13.6,100
 56,-12.58197,-56.49045,S 12 34 55.09,O 56 29 25.62,Tapurah,5108006,MT,4491,1914.5,11.7,1885.8,0.0,0.0,680.6,10.1,99
 57,-5.93398,-65.97188,S 5 56 2.33,O 65 58 18.77,Tapauá,1304104,AM,90962,296.9,1.0,86476.5,524.2,1.9,2161.1,1501.4,100
 58,-14.43270,-58.38021,S 14 25 57.72,O 58 22 48.76,Tangará da Serra,5107958,MT,11333,2166.9,8.4,644.0,8.4,0.0,8512.8,0.9,100
 59,-12.67090,-49.06021,S 12 40 15.24,O 49 3 36.76,Talismã,1720978,TO,2162,0.0,0.0,0,0.0,2161.0,2158.4,0.0,199
 60,-12.15468,-46.97995,S 12 9 16.85,O 46 58 47.82,Taipas do Tocantins,1720937,TO,1123,0.0,0.0,0,0.0,1123.4,1123.5,0.0,200
 61,-2.90336,-48.78385,S 2 54 12.10,O 48 47 1.86,Tailândia,1507953,PA,4451,1968.0,39.2,2476.4,6.6,0.0,0.0,0.0,100
 62,-12.34835,-46.59775,S 12 20 54.06,O 46 35 51.90,Taguatinga,1720903,TO,2458,0.0,0.0,0,0.0,2457.9,2452.3,0.0,199
 63,-4.02878,-69.69786,S 4 1 43.61,O 69 41 52.30,Tabatinga,1304062,AM,3343,151.3,0.6,2885.7,223.1,29.6,1.3,52.0,100
 64,-11.06717,-56.77742,S 11 4 1.81,O 56 46 38.71,Tabaporã,5107941,MT,8231,2372.5,39.6,3611.5,0.0,0.7,2240.1,6.2,100
 65,-6.50222,-44.32649,S 6 30 7.99,O 44 19 35.36,Sucupira do Norte,2111904,MA,1087,0.0,0.0,0,0.0,460.9,1087.8,0.0,142
 66,-12.08831,-48.85414,S 12 5 17.92,O 48 51 14.90,Sucupira,1720853,TO,1030,0.0,0.0,0,0.0,1031.4,1030.8,0.0,200
 67,-0.53599,-48.67721,S 0 32 9.56,O 48 40 37.96,Soure,1507904,PA,3528,33.5,0.4,0,59.7,475.9,2502.9,730.9,107
 68,-12.69331,-55.77741,S 12 41 35.92,O 55 46 38.68,Sorriso,5107925,MT,9349,3964.0,5.3,1265.2,0.0,0.7,4119.1,0.0,100
 69,-5.64773,-47.65314,S 5 38 51.83,O 47 39 11.30,Sítio Novo do Tocantins,1720804,TO,325,292.9,0.4,32.1,0.0,0.0,0.0,0.0,100
 70,-6.27437,-46.55403,S 6 16 27.73,O 46 33 14.51,Sítio Novo,2111805,MA,3141,57.8,0.0,0,1.9,869.1,3063.1,0.0,127
 71,-11.74201,-55.40265,S 11 44 31.24,O 55 24 9.54,Sinop,5107909,MT,3935,2370.6,21.2,1409.7,0.0,0.0,136.3,18.4,99
 72,-2.85099,-58.49614,S 2 51 3.56,O 58 29 46.10,Silves,1304005,AM,3758,422.0,1.0,2580.0,28.6,0.0,128.7,598.7,99
 73,-11.11331,-48.22351,S 11 6 47.92,O 48 13 24.64,Silvanópolis,1720655,TO,1268,0.0,0.0,0,0.0,1262.6,1268.6,0.0,199
