Municípios,Agricultura Anual,Área não Observada,Área Urbana,Desflorestamento 2014,Floresta,Hidrografia,Mineração,Mosaico de Ocupações,Não Floresta,Outros,Pasto com Solo Exposto,Pasto Limpo,Pasto Sujo,Reflorestamento,Regeneração com Pasto,Vegetação Secundária,Total Geral
Alvaraes,, 0.07 , 1.90 , 2.75 ," 5,415.56 ", 133.87 ,, 101.08 , 43.26 , 5.36 ,, 2.92 , 1.02 ,, 5.13 , 198.55 ," 5,911.46 "
Amatura,,, 2.05 , 0.36 ," 4,220.22 ", 209.41 ,, 15.87 , 216.55 , 3.76 ,, 4.03 ,,, 11.44 , 71.74 ," 4,755.42 "
Anama,, 0.86 , 0.89 , 0.44 ," 2,001.85 ", 229.30 ,, 6.90 , 34.81 , 13.11 ,, 2.02 , 0.87 ,,, 160.61 ," 2,451.66 "
Anori,, 0.15 , 2.77 , 0.59 ," 4,646.53 ", 436.07 ,, 17.12 , 636.01 , 4.70 ,, 8.05 , 0.52 ,,, 41.98 ," 5,794.49 "
Apui,, 6.71 , 5.91 , 80.19 ," 51,396.43 ", 213.50 ,, 8.76 , 622.87 , 7.18 ,, 812.61 , 329.85 ,, 208.13 , 546.18 ," 54,238.32 "
Atalaia do Norte,, 10.99 , 2.99 , 0.70 ," 75,692.73 ", 396.05 ,, 12.84 , 15.57 , 2.18 ,,,,, 11.28 , 187.54 ," 76,332.86 "
Autazes,, 24.24 , 4.58 , 8.35 ," 4,864.85 "," 1,124.54 ",, 137.82 , 468.41 , 139.76 ,, 248.64 , 38.05 ,, 90.23 , 451.25 ," 7,600.72 "
Barcelos,, 0.23 , 4.27 , 1.91 ," 100,948.88 "," 4,464.66 ", 0.01 , 25.66 ," 16,837.56 ", 5.68 ,, 1.32 , 0.10 ,, 4.84 , 146.95 ," 122,442.07 "
Barreirinha,, 65.07 , 6.40 , 4.46 ," 3,605.04 ", 975.48 ,, 84.83 , 408.36 , 59.38 ,, 124.85 , 14.63 ,, 55.33 , 347.03 ," 5,750.86 "
Benjamin Constant,, 29.04 , 10.47 , 0.31 ," 8,411.90 ", 200.93 ,, 35.75 , 0.04 , 3.35 ,, 0.75 , 1.17 ,, 0.88 , 97.10 ," 8,791.69 "
Beruri,, 1.04 , 3.44 , 2.29 ," 15,584.50 ", 577.91 ,, 14.26 , 873.43 , 9.18 ,, 11.06 , 0.68 ,, 0.08 , 173.09 ," 17,250.95 "
